kepid,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_srad,ra,dec,koi_kepmag
5546277,K03797.01,FALSE POSITIVE,0,1,1,0,7.500239550,137.3884800,1.1940,2.91600,2.7320e+02,21.06,901.0,29.00,5849.00,0.9190,295.369140,40.787121,13.610
8258160,K03870.01,FALSE POSITIVE,0,1,0,0,23.627034800,150.0362000,1.0960,11.48100,8.4330e+03,21.71,560.0,78.40,5305.00,0.8570,299.218810,44.181862,16.375
9752982,K03871.01,FALSE POSITIVE,1,0,0,0,0.716709897,132.0508460,1.1820,0.74660,9.3250e+02,66.73,3124.0,47.60,5173.00,2.7420,282.198430,46.520290,12.224
4666008,K03872.01,FALSE POSITIVE,0,1,1,1,2.248063246,132.7544100,1.2250,5.12970,6.3170e+02,30.38,1566.0,87.90,6325.00,1.1120,294.770630,39.751202,14.434
8430105,K03873.01,FALSE POSITIVE,1,0,0,0,63.327863600,165.2265600,0.0030,47.07440,1.1515e+04,54.17,896.0,619.60,4919.00,5.1980,291.558620,44.488190,10.420
9517393,K02076.02,CONFIRMED,0,0,0,0,219.321556200,320.7286200,0.2440,12.41240,3.6287e+03,6.11,313.0,93.80,6063.00,1.0120,287.477630,46.141178,15.273
8052474,K03640.01,FALSE POSITIVE,0,1,0,0,245.438202100,361.3028350,1.0010,14.50200,1.1312e+04,19.17,289.0,844.70,5637.00,0.9900,298.783600,43.854832,12.777
3534118,K03641.01,FALSE POSITIVE,0,1,0,0,178.412989900,218.2252350,0.9360,2.92980,3.7510e+04,33.24,361.0,535.10,6078.00,1.1480,288.327850,38.627621,13.944
2441161,K03642.01,FALSE POSITIVE,0,1,0,0,2.192004364,132.2181140,1.0030,3.07500,9.9583e+04,37.56,1118.0,298.70,5306.00,0.6870,290.938450,37.701172,16.654
3231120,K03643.01,FALSE POSITIVE,0,1,0,0,3.900109346,133.3805440,0.7330,3.90370,1.2619e+05,40.37,1160.0,448.00,5791.00,0.9690,290.344450,38.377071,16.597
12216706,K03644.01,FALSE POSITIVE,0,1,0,0,1.471060209,132.2752200,0.8950,4.37080,1.4844e+05,165.15,3693.0,563.00,8749.00,2.9110,295.743770,50.830921,15.009
10735331,K03720.01,FALSE POSITIVE,0,1,0,0,213.399040600,274.2096850,0.9810,6.50430,1.3930e+04,35.20,468.0,370.90,6960.00,1.8300,293.490660,48.095371,13.381
7763269,K03721.01,FALSE POSITIVE,0,1,0,0,6.408029790,134.0732000,1.2870,2.92880,7.7841e+03,51.44,1157.0,108.20,6261.00,1.1940,295.154910,43.444321,14.078
5471606,K03723.01,FALSE POSITIVE,1,0,0,1,0.962835804,132.1984750,0.8360,4.98440,1.4328e+04,458.02,7100.0,209.20,3982.00,32.2440,297.699740,40.641468,10.820
11200405,K03724.01,FALSE POSITIVE,0,1,0,0,4.639602084,135.0990900,0.6340,3.46360,2.5079e+04,19.96,1285.0,131.00,6078.00,1.1940,296.354130,48.863621,16.803
5475736,K03798.01,FALSE POSITIVE,0,1,1,1,2.991885335,134.1758100,0.9500,7.43190,1.3569e+03,3.94,1209.0,160.20,5750.00,0.8390,298.578190,40.675480,14.011
9049673,K03799.01,FALSE POSITIVE,0,1,1,0,1.327471395,131.5837340,0.8970,5.23340,5.6738e+03,7.08,1395.0,218.70,5232.00,0.7770,299.816710,45.332821,15.818
7031898,K07807.01,FALSE POSITIVE,0,0,1,1,0.566792595,131.8170000,0.0680,2.63700,1.9900e+01,0.50,2548.0,9.40,6277.00,1.1210,291.246640,42.562382,12.982
9593759,K03800.01,FALSE POSITIVE,0,1,0,0,1.247156944,132.3658400,25.2240,2.67790,1.3476e+05,26042.90,4120.0,92.40,4770.00,9.6700,294.107330,46.209469,17.474
8827930,K03801.01,CANDIDATE,0,0,0,0,288.312866600,374.7995800,0.5250,5.41900,1.1181e+04,13.21,300.0,96.80,5672.00,1.2200,295.206940,45.098190,15.999
